"Job","Salary","Requirements(The dash(-) means or)"
"First line supervisors of personal service workers","$39,830","Bachelor's Degree: Salon/Beauty Salon Management/Manager -"
"Funeral attendants","$27,110","High School Diploma: Embalmers - Crematory Operators - Morticians, Undertakers, and Funeral Arrangers -"
"Hairdressers hairstylists and cosmetologists","$29,590","Post-Secondary Certificate: Cosmetology and Related Personal Grooming Arts, Other - Cosmetology, Barber/Styling, and Nail Instructor - Cosmetology/Cosmetologist, General - Electrolysis/Electrology and Electrolysis Technician - Hair Styling/Stylist and Hair Design - Make-Up Artist/Specialist - Permanent Cosmetics/Makeup and Tattooing - Salon/Beauty Salon Management/Manager -"
"Locker room coatroom and dressing room attendants","$24,390","High School Diploma: Gambling Dealers - Gambling and Sports Book Writers and Runners - Gambling Service Workers, All Other - Motion Picture Projectionists - Ushers, Lobby Attendants, and Ticket Takers - Amusement and Recreation Attendants - Costume Attendants - Entertainment Attendants and Related Workers, All Other -"
"Makeup artists theatrical and performance","$71,590","Post-Secondary Certificate: Cosmetology/Cosmetologist, General - Make-Up Artist/Specialist - Permanent Cosmetics/Makeup and Tattooing -"
"Manicurists and pedicurists","$24,330","High School Diploma: Cosmetology/Cosmetologist, General - Nail Technician/Specialist and Manicurist -"
"Motion picture projectionists","$24,750","High School Diploma: Gambling Dealers - Gambling and Sports Book Writers and Runners - Gambling Service Workers, All Other - Ushers, Lobby Attendants, and Ticket Takers - Amusement and Recreation Attendants - Costume Attendants - Locker Room, Coatroom, and Dressing Room Attendants - Entertainment Attendants and Related Workers, All Other -"
"Nannies","$22,930","High School Diploma: Child Care Provider/Assistant -"
"Personal care and service workers all other","$27,460","any: Childcare Workers - Nannies - Exercise Trainers and Group Fitness Instructors - Recreation Workers - Residential Advisors -"
"Recreation workers","$27,230","Bachelor's Degree: Childcare Workers - Nannies - Exercise Trainers and Group Fitness Instructors - Residential Advisors - Personal Care and Service Workers, All Other -"
"Residential advisors","$27,690","Some College: Childcare Workers - Nannies - Exercise Trainers and Group Fitness Instructors - Recreation Workers - Personal Care and Service Workers, All Other -"
"Shampooers","$20,960","Post-Secondary Certificate: Barbers - Hairdressers, Hairstylists, and Cosmetologists - Makeup Artists, Theatrical and Performance - Manicurists and Pedicurists - Skincare Specialists -"
"Skincare specialists","$35,160","Post-Secondary Certificate: Aesthetician/Esthetician and Skin Care Specialist - Cosmetology/Cosmetologist, General - Facial Treatment Specialist/Facialist - Master Aesthetician/Esthetician -"
"Tour guides and escorts","$28,100","Associate's Degree: Travel Guides -"
"Travel guides","$35,930","Some College: Tourism and Travel Services Management -"
"Ushers lobby attendants and ticket takers","$21,740","High School Diploma: Gambling Dealers - Gambling and Sports Book Writers and Runners - Gambling Service Workers, All Other - Motion Picture Projectionists - Amusement and Recreation Attendants - Costume Attendants - Locker Room, Coatroom, and Dressing Room Attendants - Entertainment Attendants and Related Workers, All Other -"
"Adhesive bonding machine operators and tenders","$34,610","High School Diploma: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Aircraft structure surfaces rigging and systems assemblers","$52,530","High School Diploma: Aircraft Powerplant Technology/Technician - Airframe Mechanics and Aircraft Maintenance Technology/Technician - Avionics Maintenance Technology/Technician -"
"Assemblers and fabricators all other","$31,050","any: Aircraft Structure, Surfaces, Rigging, and Systems Assemblers - Coil Winders, Tapers, and Finishers - Electrical and Electronic Equipment Assemblers - Electromechanical Equipment Assemblers - Engine and Other Machine Assemblers - Structural Metal Fabricators and Fitters - Fiberglass Laminators and Fabricators - Timing Device Assemblers and Adjusters - Team Assemblers -"
"Bakers","$27,110","High School Diploma: Baking and Pastry Arts/Baker/Pastry Chef -"
"Biofuels processing technicians","$55,340","High School Diploma: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Biomass Plant Technicians - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other -"
"Biomass plant technicians","$73,800","High School Diploma: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Butchers and meat cutters","$31,740","High School Diploma: Meat Cutting/Meat Cutter -"
"Cabinetmakers and bench carpenters","$34,800","High School Diploma: Cabinetmaking and Millwork -"
"Chemical equipment operators and tenders","$50,300","High School Diploma: Chemical Process Technology - Chemical Technology/Technician -"
"Chemical plant and system operators","$59,430","High School Diploma: Chemical Process Technology - Chemical Technology/Technician -"
"Cleaning washing and metal pickling equipment operators and tenders","$30,590","High School Diploma: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Coating painting and spraying machine setters operators and tenders","$38,370","High School Diploma: Autobody/Collision and Repair Technology/Technician - NO MATCH -"
"Coil winders tapers and finishers","$35,340","High School Diploma: Aircraft Structure, Surfaces, Rigging, and Systems Assemblers - Electrical and Electronic Equipment Assemblers - Electromechanical Equipment Assemblers - Engine and Other Machine Assemblers - Structural Metal Fabricators and Fitters - Fiberglass Laminators and Fabricators - Timing Device Assemblers and Adjusters - Team Assemblers - Assemblers and Fabricators, All Other -"
"Cooling and freezing equipment operators and tenders","$32,100","Some High School: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Crushing grinding and polishing machine setters operators and tenders","$36,050","High School Diploma: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Mixing and Blending Machine Setters, Operators, and Tenders - Cutters and Trimmers, Hand - Cutting and Slicing Machine Setters, Operators, and Tenders - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Cutters and trimmers hand","$29,580","Some High School: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Mixing and Blending Machine Setters, Operators, and Tenders - Cutting and Slicing Machine Setters, Operators, and Tenders - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Cutting and slicing machine setters operators and tenders","$34,000","High School Diploma: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Mixing and Blending Machine Setters, Operators, and Tenders - Cutters and Trimmers, Hand - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Cutting punching and press machine setters operators and tenders metal and plastic","$34,210","High School Diploma: Machine Tool Technology/Machinist - Sheet Metal Technology/Sheetworking -"
"Dental laboratory technicians","$40,760","High School Diploma: Dental Laboratory Technology/Technician -"
"Drilling and boring machine tool setters operators and tenders metal and plastic","$38,880","High School Diploma: Machine Tool Technology/Machinist -"
"Electrical and electronic equipment assemblers","$33,700","High School Diploma: Aircraft Structure, Surfaces, Rigging, and Systems Assemblers - Coil Winders, Tapers, and Finishers - Electromechanical Equipment Assemblers - Engine and Other Machine Assemblers - Structural Metal Fabricators and Fitters - Fiberglass Laminators and Fabricators - Timing Device Assemblers and Adjusters - Team Assemblers - Assemblers and Fabricators, All Other -"
"Electromechanical equipment assemblers","$35,410","High School Diploma: Aircraft Structure, Surfaces, Rigging, and Systems Assemblers - Coil Winders, Tapers, and Finishers - Electrical and Electronic Equipment Assemblers - Engine and Other Machine Assemblers - Structural Metal Fabricators and Fitters - Fiberglass Laminators and Fabricators - Timing Device Assemblers and Adjusters - Team Assemblers - Assemblers and Fabricators, All Other -"
"Engine and other machine assemblers","$43,090","High School Diploma: Engine Machinist -"
"Etchers and engravers","$34,390","High School Diploma: Graphic Communications, Other -"
"Extruding and drawing machine setters operators and tenders metal and plastic","$35,340","High School Diploma: Machine Tool Technology/Machinist -"
"Extruding and forming machine setters operators and tenders synthetic and glass fibers","$35,420","High School Diploma: Laundry and Dry-Cleaning Workers - Pressers, Textile, Garment, and Related Materials - Sewing Machine Operators - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Sewers, Hand - Tailors, Dressmakers, and Custom Sewers - Textile Bleaching and Dyeing Machine Operators and Tenders - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
"Extruding forming pressing and compacting machine setters operators and tenders","$34,370","High School Diploma: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Mixing and Blending Machine Setters, Operators, and Tenders - Cutters and Trimmers, Hand - Cutting and Slicing Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Fabric and apparel patternmakers","$48,460","High School Diploma: Apparel and Textile Manufacture -"
"First line supervisors of production and operating workers","$61,450","High School Diploma: Operations Management and Supervision -"
"Food and tobacco roasting baking and drying machine operators and tenders","$30,970","High School Diploma: Bakers - Butchers and Meat Cutters - Meat, Poultry, and Fish Cutters and Trimmers - Slaughterers and Meat Packers - Food Batchmakers - Food Cooking Machine Operators and Tenders - Food Processing Workers, All Other -"
"Food batchmakers","$30,130","High School Diploma: Bakers - Butchers and Meat Cutters - Meat, Poultry, and Fish Cutters and Trimmers - Slaughterers and Meat Packers - Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders - Food Cooking Machine Operators and Tenders - Food Processing Workers, All Other -"
"Food cooking machine operators and tenders","$30,330","High School Diploma: Bakers - Butchers and Meat Cutters - Meat, Poultry, and Fish Cutters and Trimmers - Slaughterers and Meat Packers - Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders - Food Batchmakers - Food Processing Workers, All Other -"
"Food processing workers all other","$25,800","any: Bakers - Butchers and Meat Cutters - Meat, Poultry, and Fish Cutters and Trimmers - Slaughterers and Meat Packers - Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders - Food Batchmakers - Food Cooking Machine Operators and Tenders -"
"Forging machine setters operators and tenders metal and plastic","$38,710","High School Diploma: Machine Tool Technology/Machinist -"
"Foundry mold and coremakers","$36,030","High School Diploma: Ironworking/Ironworker -"
"Furnace kiln oven drier and kettle operators and tenders","$37,600","High School Diploma: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Mixing and Blending Machine Setters, Operators, and Tenders - Cutters and Trimmers, Hand - Cutting and Slicing Machine Setters, Operators, and Tenders - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Furniture finishers","$32,330","High School Diploma: Furniture Design and Manufacturing -"
"Gas plant operators","$67,980","High School Diploma: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Biomass Plant Technicians - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Gem and diamond workers","$42,310","High School Diploma: Metal and Jewelry Arts - Watchmaking and Jewelrymaking -"
"Glass blowers molders benders and finishers","$32,590","Some High School: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Grinding and polishing workers hand","$30,860","High School Diploma: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Mixing and Blending Machine Setters, Operators, and Tenders - Cutters and Trimmers, Hand - Cutting and Slicing Machine Setters, Operators, and Tenders - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic","$34,920","High School Diploma: Machine Shop Technology/Assistant - Machine Tool Technology/Machinist -"
"Heat treating equipment setters operators and tenders metal and plastic","$39,010","High School Diploma: Machine Shop Technology/Assistant - Machine Tool Technology/Machinist -"
"Helpers  production workers","$26,930","High School Diploma: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Production Workers, All Other -"
"Hydroelectric plant technicians","$73,800","Post-Secondary Certificate: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Biomass Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Inspectors testers sorters samplers and weighers","$40,340","High School Diploma: Quality Control Technology/Technician -"
"Jewelers and precious stone and metal workers","$42,310","any: Metal and Jewelry Arts - Watchmaking and Jewelrymaking -"
"Lathe and turning machine tool setters operators and tenders metal and plastic","$39,630","High School Diploma: Machine Tool Technology/Machinist -"
"Laundry and dry cleaning workers","$23,210","Some High School: Pressers, Textile, Garment, and Related Materials - Sewing Machine Operators - Shoe and Leather Workers and Repairers - Shoe Machine Operators and Tenders - Sewers, Hand - Tailors, Dressmakers, and Custom Sewers - Textile Bleaching and Dyeing Machine Operators and Tenders - Textile Cutting Machine Setters, Operators, and Tenders - Textile Knitting and Weaving Machine Setters, Operators, and Tenders - Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders - Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers - Fabric and Apparel Patternmakers - Upholsterers - Textile, Apparel, and Furnishings Workers, All Other -"
"Layout workers metal and plastic","$47,720","High School Diploma: Machine Shop Technology/Assistant - Machine Tool Technology/Machinist -"
"Machinists","$43,220","High School Diploma: Machine Shop Technology/Assistant - Machine Tool Technology/Machinist -"
"Meat poultry and fish cutters and trimmers","$25,510","Some High School: Bakers - Butchers and Meat Cutters - Slaughterers and Meat Packers - Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders - Food Batchmakers - Food Cooking Machine Operators and Tenders - Food Processing Workers, All Other -"
"Medical appliance technicians","$39,880","Associate's Degree: Assistive/Augmentative Technology and Rehabilitation Engineering - Orthotist/Prosthetist -"
"Metal workers and plastic workers all other","$35,780","any: Machine Shop Technology/Assistant - Machine Tool Technology/Machinist - Precision Metal Working, Other -"
"Metal refining furnace operators and tenders","$41,840","High School Diploma: Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic - Forging Machine Setters, Operators, and Tenders, Metal and Plastic - Rolling Machine Setters, Operators, and Tenders, Metal and Plastic - Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic - Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic - Machinists - Pourers and Casters, Metal - Model Makers, Metal and Plastic - Patternmakers, Metal and Plastic - Foundry Mold and Coremakers - Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic - Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic -"
"Milling and planing machine setters operators and tenders metal and plastic","$41,180","High School Diploma: Machine Tool Technology/Machinist -"
"Mixing and blending machine setters operators and tenders","$37,630","High School Diploma: Chemical Equipment Operators and Tenders - Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders - Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders - Grinding and Polishing Workers, Hand - Cutters and Trimmers, Hand - Cutting and Slicing Machine Setters, Operators, and Tenders - Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders - Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders - Inspectors, Testers, Sorters, Samplers, and Weighers - Jewelers and Precious Stone and Metal Workers - Gem and Diamond Workers - Dental Laboratory Technicians - Medical Appliance Technicians - Ophthalmic Laboratory Technicians -"
"Model makers metal and plastic","$50,360","High School Diploma: Sheet Metal Technology/Sheetworking -"
"Model makers wood","$47,480","High School Diploma: Cabinetmaking and Millwork -"
"Molders shapers and casters except metal and plastic","$32,590","any: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Molding coremaking and casting machine setters operators and tenders metal and plastic","$32,660","High School Diploma: Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic - Forging Machine Setters, Operators, and Tenders, Metal and Plastic - Rolling Machine Setters, Operators, and Tenders, Metal and Plastic - Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic - Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic - Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic - Machinists - Metal-Refining Furnace Operators and Tenders - Pourers and Casters, Metal - Model Makers, Metal and Plastic - Patternmakers, Metal and Plastic - Foundry Mold and Coremakers - Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic -"
"Multiple machine tool setters operators and tenders metal and plastic","$36,190","High School Diploma: Machine Shop Technology/Assistant - Machine Tool Technology/Machinist -"
"Nuclear power reactor operators","$91,370","High School Diploma: Nuclear/Nuclear Power Technology/Technician -"
"Ophthalmic laboratory technicians","$34,220","High School Diploma: Ophthalmic Laboratory Technology/Technician -"
"Packaging and filling machine operators and tenders","$30,910","High School Diploma: Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Painting coating and decorating workers","$32,040","Some High School: Packaging and Filling Machine Operators and Tenders - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Paper goods machine setters operators and tenders","$38,570","High School Diploma: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Patternmakers metal and plastic","$44,490","Some College: Sheet Metal Technology/Sheetworking -"
"Patternmakers wood","$47,850","Post-Secondary Certificate: Cabinetmaking and Millwork -"
"Petroleum pump system operators refinery operators and gaugers","$67,870","High School Diploma: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Biomass Plant Technicians - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Plant and System Operators, All Other - Biofuels Processing Technicians -"
"Photographic process workers and processing machine operators","$31,740","High School Diploma: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Potters, Manufacturing - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
"Plant and system operators all other","$55,340","any: Nuclear Power Reactor Operators - Power Distributors and Dispatchers - Power Plant Operators - Biomass Plant Technicians - Hydroelectric Plant Technicians - Stationary Engineers and Boiler Operators - Water and Wastewater Treatment Plant and System Operators - Chemical Plant and System Operators - Gas Plant Operators - Petroleum Pump System Operators, Refinery Operators, and Gaugers - Biofuels Processing Technicians -"
"Potters manufacturing","$32,590","Some College: Packaging and Filling Machine Operators and Tenders - Painting, Coating, and Decorating Workers - Coating, Painting, and Spraying Machine Setters, Operators, and Tenders - Semiconductor Processing Technicians - Photographic Process Workers and Processing Machine Operators - Computer Numerically Controlled Tool Operators - Computer Numerically Controlled Tool Programmers - Adhesive Bonding Machine Operators and Tenders - Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders - Cooling and Freezing Equipment Operators and Tenders - Etchers and Engravers - Molders, Shapers, and Casters, Except Metal and Plastic - Stone Cutters and Carvers, Manufacturing - Glass Blowers, Molders, Benders, and Finishers - Paper Goods Machine Setters, Operators, and Tenders - Tire Builders - Helpers--Production Workers - Production Workers, All Other -"
